基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
建信央视财经50指数分级,1877,42.48,增仓37.82,4.05%,0.01%
景顺长城景瑞双利定期开放债券,110,2.49,增仓0.95,0.52%,0.00%
泰达宏利启惠混合A,708,16.03,增仓13.74,1.23%,0.00%
泰达宏利启明混合A,708,16.03,增仓13.91,1.35%,0.00%
泰达宏利启泽混合A,708,16.03,增仓14.79,1.23%,0.00%
泰达宏利启迪混合C,709,16.05,增仓15.51,1.35%,0.00%
建信央视财经50指数分级A,1877,42.48,增仓37.82,4.05%,0.01%
招商深证100指数C,385,8.72,增仓0.81,5.51%,0.00%
易方达消费行业股票,55269,1250.71,增仓950.04,9.17%,0.19%
信诚永利混合A,288,6.51,增仓0.60,0.47%,0.00%
信诚永丰混合C,287,6.51,增仓0.60,0.47%,0.00%
汇添富深证300ETF联接,6,0.13,增仓0.02,0.07%,0.00%
信诚永鑫混合A,349,7.9,增仓0.59,0.57%,0.00%
易方达深证100ETF,20775,470.14,增仓20.48,5.78%,0.07%
汇添富消费行业混合,21211,480.0,增仓10.00,7.20%,0.07%
汇添富可转债债券C,133,3.0,增仓3.99,0.99%,0.00%
汇添富可转债债券A,133,3.0,增仓3.99,0.99%,0.00%
招商沪深300指数C,639,14.46,增仓2.47,2.51%,0.00%
中欧行业成长混合(LOF)A,20331,460.09,增仓63.81,5.35%,0.07%
天弘中证100指数C,56,1.26,增仓1.24,2.68%,0.00%
鹏华量化策略混合,3,0.06,增仓0.19,0.05%,0.00%
招商沪深300指数A,639,14.46,增仓2.47,2.51%,0.00%
鹏华品牌传承混合,438,9.92,增仓2.66,5.09%,0.00%
汇丰晋信恒生龙头指数A,1381,31.26,增仓0.80,5.42%,0.00%
泰康策略优选混合,1427,32.3,增仓4.36,1.61%,0.01%
诺安先进制造股票,645,14.6,增仓19.20,4.77%,0.00%
信诚永利混合C,288,6.51,增仓0.60,0.47%,0.00%
东方红新动力混合,12815,290.0,增仓101.54,3.10%,0.05%
南方新兴消费收益,3296,74.59,增仓35.12,4.84%,0.01%
农银区间策略混合,373,8.44,增仓3.69,1.20%,0.00%
东方红优享红利混合,23330,527.94,增仓84.94,6.58%,0.08%
国投瑞银深证100指数(LOF),1760,39.83,增仓19.40,3.35%,0.01%
宝盈中证100指数增强,511,11.56,增仓0.32,2.53%,0.00%
东方岳灵活配置混合,381,8.63,增仓0.05,1.72%,0.00%
东方红产业升级混合,30677,694.2,增仓213.54,8.85%,0.11%
工银沪深300指数,3065,69.37,增仓5.24,1.73%,0.01%
天弘中证100指数A,56,1.26,增仓1.24,2.68%,0.00%
东吴深证100指数增强(LOF),36,0.81,增仓0.10,6.13%,0.00%
大成沪深300指数,2746,62.15,增仓2.84,1.34%,0.01%
国投瑞银和顺债券,124,2.8,增仓0.50,2.86%,0.00%
广发行业领先混合H,22095,500.0,不变,6.01%,0.08%
工银核心价值混合H,15536,351.57,不变,3.47%,0.05%
兴业成长动力混合,334,7.55,不变,6.41%,0.00%
华夏回报混合H,66313,1500.64,不变,7.08%,0.23%
长盛新兴成长混合,1970,44.59,不变,4.64%,0.01%
德邦鑫星价值灵活配置混合C,663,15.0,不变,0.94%,0.00%
广发安盈混合A,371,8.39,不变,1.85%,0.00%
鹏华消费领先混合,1019,23.05,不变,3.99%,0.00%
诺德深证300指数分级B,28,0.63,不变,3.15%,0.00%
华夏回报混合A,66313,1500.64,不变,7.08%,0.23%
鹏华盛世创新混合(LOF),456,10.31,不变,4.87%,0.00%
华夏回报二号混合,34761,786.63,不变,7.41%,0.12%
易方达行业领先混合,3535,80.0,不变,4.55%,0.01%
汇添富盈安保本混合,16351,370.0,不变,4.62%,0.06%
兴业国企改革混合,557,12.61,不变,4.01%,0.00%
天治新消费混合,102,2.3,不变,4.02%,0.00%
南方高端装备混合A,1767,39.98,不变,4.12%,0.01%
汇添富优势精选混合,12373,280.0,不变,6.86%,0.04%
华夏安康优选债券A,707,16.0,不变,2.72%,0.00%
华夏安康优选债券C,707,16.0,不变,2.72%,0.00%
交银稳健配置混合A,20534,464.67,不变,5.75%,0.07%
诺德深证300指数分级,28,0.63,不变,3.15%,0.00%
汇添富保鑫保本混合,2872,65.0,不变,2.58%,0.01%
华泰柏瑞沪深300ETF联接,7,0.15,不变,0.05%,0.00%
汇添富美丽30混合,15908,360.0,不变,6.56%,0.06%
景顺长城新兴成长混合,9280,210.0,不变,6.83%,0.03%
汇添富双利债券C,143,3.23,不变,1.59%,0.00%
金元顺安核心动力混合,661,14.96,不变,1.63%,0.00%
交银深证300价值ETF,456,10.31,不变,7.65%,0.00%
广发安盈混合C,371,8.39,不变,1.85%,0.00%
九泰天宝灵活配置混合A,1060,24.0,不变,5.73%,0.00%
德邦鑫星价值灵活配置混合A,663,15.0,不变,0.94%,0.00%
景顺长城鼎益混合(LOF),13257,300.0,不变,7.07%,0.05%
汇添富盈稳保本混合,11048,250.0,不变,4.38%,0.04%
中邮睿信增强债券,442,10.0,不变,2.12%,0.00%
诺德深证300指数分级A,28,0.63,不变,3.15%,0.00%
中银鑫利混合C,359,8.12,不变,5.32%,0.00%
汇添富双利债券A,143,3.23,不变,1.59%,0.00%
汇添富盈鑫保本混合,16792,380.0,不变,4.96%,0.06%
信诚至泰混合A,279,6.31,不变,1.43%,0.00%
九泰天宝灵活配置混合C,1060,24.0,不变,5.73%,0.00%
信诚至泰混合C,279,6.31,不变,1.43%,0.00%
中银鑫利混合A,359,8.12,不变,5.32%,0.00%
华安新丰利混合C,277,6.26,不变,1.34%,0.00%
华安新丰利混合A,277,6.26,不变,1.34%,0.00%
华夏大盘精选混合,12434,281.37,不变,5.03%,0.04%
工银大盘蓝筹混合,1133,25.65,不变,2.80%,0.00%
工银核心价值混合A,15536,351.57,不变,3.47%,0.05%
申万菱信稳益宝债券,265,6.0,不变,0.85%,0.00%
广发行业领先混合A,22095,500.0,不变,6.01%,0.08%
嘉实环保低碳股票,11491,260.04,减仓10.75,4.81%,0.04%
德邦大健康灵活配置混合,2090,47.3,减仓2.10,8.70%,0.01%
光大保德信永鑫混合A,1325,30.0,减仓7.50,1.06%,0.00%
光大保德信永鑫混合C,1325,30.0,减仓7.50,1.06%,0.00%
大成深证成份ETF,1034,23.41,减仓1.84,2.83%,0.00%
银华沪深300指数分级B,234,5.29,减仓0.42,1.71%,0.00%
国泰沪深300指数,3262,73.82,减仓6.24,1.69%,0.01%
东方红睿丰混合(LOF),85539,1935.72,减仓34.97,6.95%,0.30%
银华大数据灵活配置定期开放混合发起式,109,2.46,减仓0.76,1.44%,0.00%
国泰金马稳健混合,14517,328.51,减仓53.87,9.65%,0.05%
融通深证100指数C,47967,1085.48,减仓147.30,5.53%,0.17%
融通深证成份指数C,438,9.92,减仓0.41,2.74%,0.00%
浙商沪深300指数分级,452,10.23,减仓6.39,1.76%,0.00%
平安大华深证300指数增强,244,5.52,减仓0.83,3.61%,0.00%
信诚沪深300指数分级A,489,11.07,减仓1.22,1.32%,0.00%
广发中证全指可选消费ETF,2664,60.29,减仓6.41,7.19%,0.01%
前海开源外向企业股票,180,4.08,减仓0.22,3.06%,0.00%
德邦优化配置混合,155,3.5,减仓0.20,2.41%,0.00%
长安沪深300非周期行业指数,341,7.71,减仓2.48,3.43%,0.00%
易方达沪深300ETF联接,148,3.34,减仓3.29,0.04%,0.00%
易方达深证100ETF联接A,474,10.73,减仓4.03,0.28%,0.00%
海富通养老收益混合A,556,12.59,减仓10.16,1.64%,0.00%
大成景尚灵活配置混合A,379,8.58,减仓3.22,0.45%,0.00%
申万菱信新经济混合,7699,174.23,减仓174.23,4.21%,0.03%
金元顺安新经济主题混合,1017,23.02,减仓5.01,7.21%,0.00%
前海联合沪深300指数,185,4.19,减仓0.21,3.31%,0.00%
前海开源沪深300指数,15,0.35,减仓0.06,1.50%,0.00%
国投瑞银安颐多策略混合,362,8.2,减仓3.10,3.97%,0.00%
信诚量化阿尔法股票,137,3.09,减仓2.39,1.79%,0.00%
易方达沪深300发起式ETF,7083,160.28,减仓4.46,1.81%,0.02%
中银润利混合A,3812,86.26,减仓5.05,4.70%,0.01%
易方达深证成指ETF,77,1.74,减仓0.49,2.83%,0.00%
大摩品质生活精选股票,2691,60.9,减仓8.30,3.84%,0.01%
汇添富沪深300安中指数,1027,23.24,减仓14.57,2.87%,0.00%
银华永祥灵活配置混合,437,9.88,减仓7.60,1.56%,0.00%
大成景尚灵活配置混合C,379,8.58,减仓3.22,0.45%,0.00%
国富中证100指数增强分级B,297,6.71,减仓1.77,2.87%,0.00%
国富中证100指数增强分级A,297,6.71,减仓1.77,2.87%,0.00%
工银深证100指数分级B,227,5.13,减仓0.06,5.40%,0.00%
工银深证100指数分级A,227,5.13,减仓0.06,5.40%,0.00%
广发深证100指数分级B,532,12.03,减仓0.69,5.52%,0.00%
银河研究精选混合,12373,280.0,减仓124.00,3.94%,0.04%
华夏沪深300指数增强A,852,19.29,减仓4.10,1.96%,0.00%
华夏沪深300指数增强C,852,19.29,减仓4.10,1.96%,0.00%
广发可选消费联接C,52,1.17,减仓0.89,0.13%,0.00%
广发深证100指数分级A,532,12.03,减仓0.69,5.52%,0.00%
国联安双禧中证100指数B,524,11.87,减仓1.02,2.61%,0.00%
国联安双禧中证100指数A,524,11.87,减仓1.02,2.61%,0.00%
瑞和远见,386,8.73,减仓0.71,1.59%,0.00%
瑞和小康,386,8.73,减仓0.71,1.59%,0.00%
银河智联混合,2210,50.0,减仓10.00,6.96%,0.01%
广发可选消费联接A,52,1.17,减仓0.89,0.13%,0.00%
汇添富优选回报混合A,659,14.92,减仓3.14,2.77%,0.00%
银华瑞祥,640,14.48,减仓4.39,3.23%,0.00%
申万菱信深证成指分级进取,7080,160.22,减仓22.30,2.64%,0.02%
华富中证100指数,247,5.58,减仓0.02,2.61%,0.00%
华安科技动力混合,8838,200.0,减仓120.00,2.45%,0.03%
国泰安康养老定期支付混合A,520,11.76,减仓3.29,1.37%,0.00%
诺安行业轮动混合,2209,49.99,减仓14.00,3.68%,0.01%
东吴阿尔法灵活配置混合,1031,23.32,减仓5.82,7.12%,0.00%
华安沪深300指数分级,492,11.13,减仓0.95,1.73%,0.00%
海富通富睿混合A,237,5.35,减仓4.47,1.04%,0.00%
海富通富睿混合C,237,5.35,减仓4.47,1.04%,0.00%
天弘中证800指数A,221,5.01,减仓1.25,1.24%,0.00%
东方红睿轩沪港深混合,10535,238.41,减仓6.54,6.99%,0.04%
泰达宏利领先中小盘混合,431,9.76,减仓2.71,3.83%,0.00%
南方开元沪深300ETF,2033,46.0,减仓0.99,1.82%,0.01%
银华消费分级混合,640,14.48,减仓4.39,3.23%,0.00%
银河沪深300指数,833,18.85,减仓1.34,3.28%,0.00%
鹏华深证民营ETF,489,11.06,减仓0.60,8.78%,0.00%
华夏新锦顺混合A,1105,25.0,减仓8.00,2.11%,0.00%
银华沪深300指数分级,234,5.29,减仓0.42,1.71%,0.00%
嘉实富时中国A50ETF联接A,6,0.14,减仓0.12,0.12%,0.00%
华夏沪深300ETF,31957,723.18,减仓12.76,1.79%,0.11%
华商民营活力混合,354,8.0,减仓2.00,3.02%,0.00%
新华积极价值混合,700,15.85,减仓1.85,2.82%,0.00%
申万菱信安鑫回报灵活配置混合C,530,12.0,减仓9.00,1.88%,0.00%
农银汇理大盘蓝筹混合,426,9.65,减仓2.97,1.52%,0.00%
中银润利混合C,3812,86.26,减仓5.05,4.70%,0.01%
嘉实深证基本面120ETF,908,20.55,减仓0.75,5.90%,0.00%
嘉实富时中国A50ETF,578,13.07,减仓8.37,3.30%,0.00%
易方达新利混合,442,10.0,减仓3.82,0.83%,0.00%
东方红策略精选混合C,663,15.0,减仓3.00,0.73%,0.00%
中金沪深300指数A,26,0.6,减仓0.33,2.06%,0.00%
华夏新锦顺混合C,1105,25.0,减仓8.00,2.11%,0.00%
嘉实沪深300ETF联接(LOF),412,9.33,减仓7.02,0.02%,0.00%
南方开元沪深300ETF联接A,52,1.17,减仓0.05,0.06%,0.00%
南方丰合保本混合,1583,35.82,减仓7.58,0.82%,0.01%
海富通沪港深混合,508,11.5,减仓0.74,3.01%,0.00%
先锋精一混合C,2123,48.04,减仓48.03,8.64%,0.01%
西部利得多策略优选混合,351,7.94,减仓4.64,0.95%,0.00%
华夏新活力混合A,1016,23.0,减仓10.00,2.01%,0.00%
银华沪深300指数分级A,234,5.29,减仓0.42,1.71%,0.00%
西部利得成长精选混合,264,5.97,减仓2.42,0.93%,0.00%
南方益和保本混合,1754,39.7,减仓7.13,0.67%,0.01%
海富通中证100指数(LOF),274,6.2,减仓0.72,2.78%,0.00%
先锋精一混合A,2123,48.04,减仓48.03,8.64%,0.01%
申万菱信安鑫回报灵活配置混合A,530,12.0,减仓9.00,1.88%,0.00%
中金沪深300指数C,26,0.6,减仓0.33,2.06%,0.00%
华夏沪深300ETF联接A,426,9.63,减仓0.70,0.04%,0.00%
南方安裕养老混合,1133,25.64,减仓8.13,0.52%,0.00%
泰达改革动力混合C,1776,40.18,减仓22.32,1.63%,0.01%
银河沪深300成长进取,113,2.57,减仓1.34,4.48%,0.00%
诺安中证100指数,554,12.55,减仓0.44,2.72%,0.00%
泰达宏利绝对混合,130,2.95,减仓0.84,0.99%,0.00%
浙商沪深300指数分级稳健,452,10.23,减仓6.39,1.76%,0.00%
信诚沪深300指数分级B,489,11.07,减仓1.22,1.32%,0.00%
华安深证300指数(LOF),2703,61.17,减仓17.13,3.41%,0.01%
信诚沪深300指数分级,489,11.07,减仓1.22,1.32%,0.00%
上投摩根成长先锋混合,2780,62.9,减仓6.74,3.04%,0.01%
汇添富达欣混合A,421,9.53,减仓2.38,1.99%,0.00%
景顺长城精选蓝筹混合,22095,500.0,减仓40.00,6.20%,0.08%
南方开元沪深300ETF联接C,52,1.17,减仓0.05,0.06%,0.00%
建信深证基本面60ETF联接,27,0.6,减仓0.04,0.18%,0.00%
泰达改革动力混合A,1776,40.18,减仓22.32,1.63%,0.01%
国泰安康养老定期支付混合C,520,11.76,减仓3.29,1.37%,0.00%
工银现代服务业混合,796,18.01,减仓5.22,2.99%,0.00%
鹏华沪深300ETF,57,1.3,减仓0.03,1.84%,0.00%
鹏华安益增强混合,165,3.73,减仓1.70,1.14%,0.00%
浙商大数据智选消费混合,659,14.92,减仓6.16,2.17%,0.00%
光大保德信睿鑫混合C,663,15.0,减仓3.80,1.05%,0.00%
长盛互联网+混合,607,13.74,减仓2.15,4.99%,0.00%
大摩卓越成长混合,2438,55.17,减仓10.60,4.14%,0.01%
汇添富深证300ETF,324,7.33,减仓0.21,3.58%,0.00%
农银汇理沪深300指数A,1500,33.95,减仓2.97,1.73%,0.01%
东方红睿逸定期开放混合,3401,76.95,减仓6.36,4.08%,0.01%
华夏圆和混合,795,18.0,减仓6.00,1.46%,0.00%
汇添富均衡增长混合,20374,461.06,减仓71.39,4.01%,0.07%
汇添富成长焦点混合,67169,1520.0,减仓220.00,9.76%,0.24%
长盛高端装备混合,722,16.34,减仓11.34,1.60%,0.00%
国寿安保沪深300指数,1407,31.83,减仓8.61,1.58%,0.00%
光大保德信睿鑫混合A,663,15.0,减仓3.80,1.05%,0.00%
中银宝利混合A,4118,93.18,减仓14.58,5.28%,0.01%
中银宝利混合C,4118,93.18,减仓14.58,5.28%,0.01%
工银新得益混合,663,15.0,减仓3.00,1.20%,0.00%
东方红策略精选混合A,663,15.0,减仓3.00,0.73%,0.00%
中银稳进保本混合,10768,243.68,减仓151.05,4.75%,0.04%
银河沪深300成长优先,113,2.57,减仓1.34,4.48%,0.00%
浙商沪深300指数分级进取,452,10.23,减仓6.39,1.76%,0.00%
建信沪深300指数(LOF),857,19.4,减仓0.67,1.72%,0.00%
银华瑞吉,640,14.48,减仓4.39,3.23%,0.00%
银华-道琼斯88指数,4612,104.37,减仓11.44,1.77%,0.02%
华安沪深300指数分级B,492,11.13,减仓0.95,1.73%,0.00%
华安沪深300指数分级A,492,11.13,减仓0.95,1.73%,0.00%
平安大华新鑫先锋混合C,354,8.0,减仓1.00,4.96%,0.00%
华夏新锦程混合C,884,20.0,减仓6.00,1.67%,0.00%
益民中证智能消费指数,67,1.51,减仓0.93,5.41%,0.00%
银河沪深300成长分级,113,2.57,减仓1.34,4.48%,0.00%
长安产业精选混合A,1048,23.71,减仓8.52,6.85%,0.00%
华夏新活力混合C,1016,23.0,减仓10.00,2.01%,0.00%
海富通养老收益混合C,556,12.59,减仓10.16,1.64%,0.00%
汇添富多策略定开混合,14406,326.01,减仓70.00,9.15%,0.05%
天弘中证800指数C,221,5.01,减仓1.25,1.24%,0.00%
东方红中国优势混合,47529,1075.56,减仓144.49,9.81%,0.17%
嘉实沪深300ETF,33523,758.6,减仓52.12,1.83%,0.12%
东方红睿华沪港深混合,88156,1994.93,减仓407.16,9.36%,0.31%
申万菱信深证成指分级收益,7080,160.22,减仓22.30,2.64%,0.02%
南方瑞利混合,894,20.23,减仓15.17,0.78%,0.00%
易方达深证100ETF联接C,474,10.73,减仓4.03,0.28%,0.00%
汇添富达欣混合C,421,9.53,减仓2.38,1.99%,0.00%
汇添富优选回报混合C,659,14.92,减仓3.14,2.77%,0.00%
南方避险增值混合,4452,100.75,减仓16.75,0.60%,0.02%
海富通新内需混合A,131,2.96,减仓2.06,1.35%,0.00%
东方红睿元混合,11900,269.3,减仓1.87,8.34%,0.04%
上投摩根卓越制造股票,5389,121.94,减仓13.19,3.31%,0.02%
海富通阿尔法对冲混合,884,20.0,减仓4.00,2.01%,0.00%
大摩睿成大盘弹性股票,108,2.45,减仓0.42,1.43%,0.00%
建信深证100指数增强,586,13.27,减仓4.09,5.55%,0.00%
平安大华新鑫先锋混合A,354,8.0,减仓1.00,4.96%,0.00%
深成ETF,1373,31.08,减仓1.40,2.88%,0.00%
南方安泰养老混合,929,21.02,减仓5.99,0.60%,0.00%
汇安丰裕混合C,1750,39.59,减仓5.50,8.64%,0.01%
汇安丰裕混合A,1750,39.59,减仓5.50,8.64%,0.01%
华夏新锦程混合A,884,20.0,减仓6.00,1.67%,0.00%
海富通新内需混合C,131,2.96,减仓2.06,1.35%,0.00%
博时深证基本面200ETF,287,6.49,减仓0.54,5.04%,0.00%
东方红沪港深混合,45930,1039.37,减仓103.87,8.88%,0.16%
长盛沪深300指数(LOF),104,2.35,减仓0.02,1.74%,0.00%
国开开航混合,133,3.0,减仓2.20,2.40%,0.00%
东方鼎新灵活配置混合C,442,10.01,减仓0.19,1.76%,0.00%
创金合信量化核心混合A,492,11.14,减仓3.63,1.72%,0.00%
申万菱信多策略灵活配置混合A,641,14.5,减仓5.00,0.90%,0.00%
东方红睿阳混合(LOF),6485,146.74,减仓36.36,7.69%,0.02%
宝盈资源优选混合,13885,314.21,减仓56.64,4.92%,0.05%
申万菱信多策略灵活配置混合C,641,14.5,减仓5.00,0.90%,0.00%
国金沪深300指数增强,405,9.16,减仓1.54,2.02%,0.00%
长盛中证100指数,1051,23.78,减仓1.38,2.66%,0.00%
融通深证成份指数A,438,9.92,减仓0.41,2.74%,0.00%
融通新蓝筹混合,8171,184.91,减仓35.00,3.26%,0.03%
富国优化增强债券C,486,11.0,减仓1.00,2.19%,0.00%
国投瑞银中证消费服务指数(LOF),235,5.32,减仓0.56,4.53%,0.00%
东方鼎新灵活配置混合A,442,10.01,减仓0.19,1.76%,0.00%
长盛同庆(LOF),193,4.37,减仓0.22,1.25%,0.00%
创金合信量化核心混合C,492,11.14,减仓3.63,1.72%,0.00%
申万菱信深证成指分级,7080,160.22,减仓22.30,2.64%,0.02%
东方红智逸沪港深定开混合,6564,148.55,减仓6.87,4.02%,0.02%
国富中证100指数增强分级,297,6.71,减仓1.77,2.87%,0.00%
国联安双禧中证100指数,524,11.87,减仓1.02,2.61%,0.00%
融通深证100指数A,47967,1085.48,减仓147.30,5.53%,0.17%
广发沪深300ETF,3704,83.81,减仓26.70,1.77%,0.01%
长安产业精选混合C,1048,23.71,减仓8.52,6.85%,0.00%
富国优化增强债券A/B,486,11.0,减仓1.00,2.19%,0.00%
长城久泰沪深300指数,1188,26.88,减仓0.75,1.71%,0.00%
工银深证100指数分级,227,5.13,减仓0.06,5.40%,0.00%
广发深证100指数分级,532,12.03,减仓0.69,5.52%,0.00%
国投瑞银沪深300指数分级,386,8.73,减仓0.71,1.59%,0.00%
长盛同辉深证100(LOF),35,0.79,减仓0.04,1.51%,0.00%
东方红领先精选混合,0,0.0,退出,0,0
东方红稳健精选混合C,0,0.0,退出,0,0
长盛同鑫行业混合,0,0.0,退出,0,0
华夏新锦祥混合C,0,0.0,退出,0,0
华夏新锦祥混合A,0,0.0,退出,0,0
安信沪深300增强A,0,0.0,退出,0,0
安信沪深300增强C,0,0.0,退出,0,0
安信量化多因子混合A,0,0.0,退出,0,0
泰康恒泰回报混合A,0,0.0,退出,0,0
东兴改革精选混合,0,0.0,退出,0,0
华夏新锦升混合A,0,0.0,退出,0,0
上投摩根安丰回报混合A,0,0.0,退出,0,0
华夏新锦升混合C,0,0.0,退出,0,0
泰达宏利新思路混合A,0,0.0,退出,0,0
泰康恒泰回报混合C,0,0.0,退出,0,0
嘉实价值增强混合,0,0.0,退出,0,0
上投摩根安泽回报混合C,0,0.0,退出,0,0
上投摩根安泽回报混合A,0,0.0,退出,0,0
上投摩根安丰回报混合C,0,0.0,退出,0,0
海富通欣益混合C,0,0.0,退出,0,0
金元顺安成长动力混合,0,0.0,退出,0,0
南方平衡混合,0,0.0,退出,0,0
汇添富安鑫智选混合C,0,0.0,退出,0,0
易方达裕如混合,0,0.0,退出,0,0
海富通欣盛定开混合,0,0.0,退出,0,0
海富通欣益混合A,0,0.0,退出,0,0
诺德价值优势混合,0,0.0,退出,0,0
汇添富新睿精选混合A,0,0.0,退出,0,0
东兴蓝海财富混合,0,0.0,退出,0,0
中欧瑾通灵活配置混合A,0,0.0,退出,0,0
中欧瑾通灵活配置混合C,0,0.0,退出,0,0
鹏华深证民营ETF联接,0,0.0,退出,0,0
东方红稳健精选混合A,0,0.0,退出,0,0
泰达宏利新思路混合B,0,0.0,退出,0,0
鑫元鑫新收益混合C,0,0.0,退出,0,0
嘉实新机遇混合发起式,0,0.0,退出,0,0
汇添富新睿精选混合C,0,0.0,退出,0,0
鑫元鑫新收益混合A,0,0.0,退出,0,0
汇添富安鑫智选混合A,0,0.0,退出,0,0
华安创新股票,0,0.0,退出,0,0
中融强国制造混合,0,0.0,退出,0,0
博时汇智回报混合,0,0.0,退出,0,0
大成一带一路灵活配置混合,0,0.0,退出,0,0
博时深证基本面200ETF联接,0,0.0,退出,0,0
中银添利债券发起,0,0.0,退出,0,0
广发小盘成长混合(LOF),0,0.0,退出,0,0
天弘安盈混合,0,0.0,退出,0,0
